ранг	кандзи	freq	pmw	кум%	написания
20	思	289326	1481.2709	12.551	思い(85831)/思っ(62120)/思う(51167)/思わ(23809)/思え(8459)/不思議(6751)/思想(6450)/意思(4850)/思い出し(4759)/思考(2940)/思い出(2765)/思える(2734)/思い出す(1518)/思い切っ(1015)/思いがけ(876)/思いやり(859)/思いつい(778)/思い出さ(759)/思い出せ(699)/思い込ん(695)
21	合	288900	1479.0899	13.039	場合(95881)/総合(11225)/合わせ(9315)/組合(8437)/割合(7998)/試合(7301)/問い合わせ(6952)/連合(4754)/合計(4739)/合併(4524)/合理(4343)/都合(4156)/具合(3399)/統合(3353)/合意(3240)/組み合わせ(3078)/合っ(3038)/結合(2952)/集合(2867)/問合せ(2715)
22	自	288079	1474.8866	13.525	自分(110543)/自然(23136)/自由(19422)/自身(16835)/自動(15759)/自己(13026)/自ら(8440)/自治(7794)/自体(7671)/自信(5234)/自転(5035)/自宅(4585)/自衛(3967)/独自(3808)/自殺(3668)/自主(3406)/自民(3021)/自立(2914)/自覚(2509)/自慢(2010)
23	国	287328	1471.0417	14.010	国(61489)/中国(22345)/国民(21043)/国際(20393)/外国(13394)/全国(12835)/国家(12432)/韓国(8943)/国内(8616)/米国(8342)/諸国(5105)/国会(5009)/国土(3752)/国立(3644)/各国(3551)/帝国(3501)/国連(3432)/国務(3293)/英国(2858)/帰国(2626)
24	会	279914	1433.0840	14.482	会(61264)/社会(49001)/会社(41187)/会議(11820)/機会(7843)/会場(7282)/大会(7240)/協会(6486)/会計(6465)/会っ(5266)/会話(5209)/国会(5009)/会長(4388)/議会(4386)/会員(4027)/教会(3949)/会い(3906)/出会い(3095)/会う(2800)/総会(2708)
25	子	275836	1412.2058	14.948	子(32912)/子供(29940)/子ども(27509)/様子(9610)/息子(8445)/原子(7433)/電子(6610)/女子(6579)/女の子(6120)/椅子(4763)/男子(4088)/子育て(4043)/調子(4022)/菓子(4019)/親子(3599)/男の子(3331)/分子(2672)/弟子(2244)/王子(2024)/帽子(1993)
26	言	266389	1363.8397	15.397	言っ(69822)/言う(39625)/言葉(34294)/言わ(29246)/言い(19754)/言え(12726)/言語(6283)/発言(4847)/言える(4263)/宣言(3728)/一言(3493)/証言(2014)/遺言(1476)/助言(1383)/無言(1315)/提言(1273)/言及(1218)/予言(1016)/言(1011)/方言(939)
27	場	247812	1268.7305	15.815	場合(95881)/場(26053)/場所(25890)/市場(14598)/立場(9742)/登場(8490)/工場(7439)/会場(7282)/現場(6940)/場面(4398)/職場(4198)/広場(2798)/出場(2735)/相場(2394)/劇場(2382)/入場(2179)/上場(1513)/戦場(1324)/道場(1047)/役場(1036)
28	入	241552	1236.6809	16.223	入っ(34496)/入れ(28678)/入り(13303)/入る(11115)/購入(10941)/輸入(8593)/導入(8159)/入れる(7440)/収入(6088)/入力(5797)/加入(5000)/入院(4664)/入札(3744)/受け入れ(3664)/入ら(3467)/記入(3189)/入学(2855)/入手(2421)/侵入(2319)/入口(2181)
29	手	241494	1236.3840	16.631	手(49567)/相手(28843)/選手(11854)/手紙(7098)/手段(6042)/手術(5737)/勝手(5395)/手続(4324)/手続き(4214)/両手(4136)/上手(3546)/右手(3222)/手法(2854)/大手(2754)/手数(2704)/手当(2690)/手前(2582)/左手(2563)/入手(2421)/苦手(2303)
30	地	234666	1201.4265	17.027	地域(39640)/地(27666)/地方(22280)/土地(14402)/地区(9156)/地球(8094)/地震(6191)/地下(5752)/地元(5680)/現地(4156)/地図(3942)/地位(3870)/各地(3771)/地上(3685)/基地(3240)/地面(2499)/生地(2273)/地帯(2242)/地獄(2232)/農地(2127)
31	二	229538	1175.1725	17.414	二(157625)/二十(28205)/二人(23681)/二百(4526)/二千(2327)/二、三(1383)/一、二(681)/二郎(374)/二条(365)/二塁(313)/二宮(272)/二者(235)/二階堂(234)/十二分(218)/浩二(213)/二の腕(198)/二男(193)/二元(173)/健二(166)/十二指腸(159)
32	気	226448	1159.3526	17.796	気(59174)/気持ち(20485)/病気(9291)/人気(9042)/気分(8419)/電気(8347)/元気(7870)/空気(6117)/雰囲気(5855)/景気(4603)/気づい(4377)/天気(3835)/気味(3310)/一気(3156)/気持(2919)/勇気(2604)/本気(2529)/気配(2456)/気温(2385)/平気(2178)
33	前	225843	1156.2551	18.177	前(86997)/名前(15830)/午前(13645)/以前(13100)/お前(6484)/前年(6467)/前後(5896)/前提(4585)/事前(3800)/前項(3396)/当たり前(2816)/前回(2719)/前半(2697)/手前(2582)/直前(2545)/前日(2474)/前述(2316)/前方(1988)/前者(1718)/戦前(1671)
34	業	225599	1155.0059	18.558	事業(46534)/企業(36663)/業(18632)/産業(15661)/作業(13464)/業務(11728)/農業(9685)/営業(7691)/工業(6407)/卒業(6130)/職業(5537)/授業(5101)/従業(3658)/失業(2780)/漁業(2727)/業者(2526)/商業(2493)/就業(2436)/業種(2387)/業績(2111)
35	定	224749	1150.6541	18.937	規定(23567)/決定(15705)/設定(14845)/予定(13514)/指定(13034)/特定(11060)/安定(10922)/定める(8080)/定め(7496)/一定(7127)/否定(5498)/固定(5479)/認定(4843)/限定(4835)/定員(4561)/測定(4398)/確定(4164)/協定(4095)/定期(4041)/定義(3762)
